Job Title,Salary Estimate,Job Description,Rating,Pros,Cons,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Marketing & Online (Remote)",Employer Provided Salary:$90K - $160K,"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports

For Colorado, Connecticut, Nevada and New York City residents: The pay range for this position is between $90,000 and $160,000. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience. The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit sharing program depending on position.



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























-",3.8,"Pros
""Great culture and hours"" (in 46 reviews)
""Work life balance is good"" (in 29 reviews)
""People are great"" (in 36 reviews)
""benefits are good for full time employees"" (in 18 reviews)
""Good pay!"" (in 36 reviews)","Cons
""Honestly none, it really is a fantastic company with the best culture of any company I have personally worked for."" (in 46 reviews)
""Work/life balance is not great"" (in 29 reviews)
""This place is full of extremely dull and intellectually incurious people."" (in 36 reviews)
""Benefits Expensive"" (in 18 reviews)
""Average Pay"" (in 36 reviews)","The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
"Data Scientist, Marketing & Online (Remote)",Employer Provided Salary:$90K - $160K,"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports

For Colorado, Connecticut, Nevada and New York City residents: The pay range for this position is between $90,000 and $160,000. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience. The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit sharing program depending on position.



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























-",3.8,"Pros
""Great culture and hours"" (in 46 reviews)
""Work life balance is good"" (in 29 reviews)
""People are great"" (in 36 reviews)
""benefits are good for full time employees"" (in 18 reviews)
""Good pay!"" (in 36 reviews)","Cons
""Honestly none, it really is a fantastic company with the best culture of any company I have personally worked for."" (in 46 reviews)
""Work/life balance is not great"" (in 29 reviews)
""This place is full of extremely dull and intellectually incurious people."" (in 36 reviews)
""Benefits Expensive"" (in 18 reviews)
""Average Pay"" (in 36 reviews)","The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Senior Data Scientist/Modeling Researcher,Employer Provided Salary:$120K,"Senior Data Scientist/Modeling Researcher
New Light Technologies Inc. (NLT), a leading provider of integrated science, technology, and mission services based in Washington DC, is currently seeking a Senior Data Scientist/ Modelling Researcher to support research, design, and development of statistical data science methods and predictive models that improve the quality and efficiency of national socio-economic surveys.
Working alongside stakeholders in federal agencies, leading academic institutions, and the private sector industry, the candidate will act as a Senior Data Scientist/Modelling Researcher to integrate disparate big data including various administrative, survey, and other available datasets to develop methods to improve prediction of survey response propensities. The candidate will help design, document, develop, improve, and support work through the project lifecycle from requirements gathering to deployment and work collaboratively with a team to determine the design and engineering options that best meet the business requirements and communications goals.",5.0,"Pros
""Very horizontal; the president of the company works alongside the workers, most of whom have a high level of technical expertise, and since the different areas of technology have a lot of interdependency, there's a great deal of information"" (in 1 reviews)","Cons
""The free flow of information can make it difficult to bubble it all up into coherent stores of information, and giving autonomy to strong project leads inevitably leads to different ways to organize this information."" (in 1 reviews)","New Light Technologies, Inc.
5.0",Remote,1 to 50 Employees,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD),-1
Jr. Data Scientist (Remote Eligible),$48K - $74K (Glassdoor est.),"Location
HQ
3500 S Clark Street
Arlington, VA 22202
Employment Type
Full-Time
Experience Level",3.2,"Pros
""Provided you work for a good manager, getting promoted quickly is possible."" (in 10 reviews)
""Competitive salary"" (in 10 reviews)
""Decent benefits"" (in 6 reviews)
""Good management and good coworkers"" (in 6 reviews)","Cons
""Senior managers and VP's who will berate, intimidate, yell at and belittle their employees."" (in 10 reviews)
""Bad salary"" (in 10 reviews)
""Bad benefits"" (in 6 reviews)
""Don’t take family into account, work long hours, under appreciated at times"" (in 9 reviews)
""your coworkers watch you as well"" (in 6 reviews)","Lidl US
3.2","Arlington, VA",5001 to 10000 Employees,1973,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable
Python Data Scientist w/ Cloud & Machine Learning,-1,"Location: REMOTE
Description: Our client is currently seeking a Python Data Scientist w/ Cloud & Machine Learning


Must be able to code during interview
Data Scientist
Python
Simpson’s Paradox
List reversal
Inverse of the identity Matrix
Must convert pseudocode to python




vkumar02@judge.com",3.8,"Pros
""Good people and friendly contact"" (in 2 reviews)
""Good benefits and a decent package"" (in 2 reviews)","Cons
No Cons have been reported by the Glassdoor community.","The Judge Group
3.8",Remote,1001 to 5000 Employees,1970,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Data Scientist (Local or Remote),$76K - $115K (Glassdoor est.),"(Local or Remote)

ROLE OVERVIEW
We're seeking a talented Data Scientist to join our growing team. You'll play a critical role on our Data Science team and be instrumental in driving long-term growth for the company. The ideal candidate has strong analytical and problem-solving abilities and is excited by the opportunity to navigate large amounts of data to identify patterns, distill insights, and build predictive machine learning models. This is a highly visible role with significant autonomy and the opportunity to work across several teams.
RESPONSIBILITIES",4.8,"Pros
""Well, the people are great and are also very fun to work/ not work with!"" (in 11 reviews)
""Great work/life balance."" (in 6 reviews)
""Great benefits and tons of room to grow."" (in 6 reviews)
""Transparency, Great Leadership, Great Values, Schedule Flexibility, Unlimited PTO, and it feels like our voices are heard and valued."" (in 5 reviews)
""lots of autonomy"" (in 12 reviews)","Cons
No Cons have been reported by the Glassdoor community.","Point Digital Finance, Inc.
4.8","Palo Alto, CA",201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Scientist,-1,"About the team
Zillow Group is currently seeking a Data Scientist to join the ZG data science org. We’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product & marketing organizations to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",3.9,"Pros
""The majority of the individuals that you work with are great people, inside and out of work."" (in 15 reviews)
""Leadership is focused on investment in the right areas"" (in 10 reviews)
""So many great benefits."" (in 8 reviews)
""Good work/life balance if you advocate for your needs"" (in 12 reviews)
""Competitive Salary"" (in 11 reviews)","Cons
""Leadership swirling after sketchy Zillow Offers decision making, little to no accountability or honesty leading to spiraling morale."" (in 10 reviews)
""Salaries are low even though everyone is doing the same job."" (in 11 reviews)",,Remote,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Senior Data Scientist (Local or Remote),$100K - $150K (Glassdoor est.),"(Local or Remote)

ROLE OVERVIEW
We're seeking a talented Senior Data Scientist to join our growing team. You'll play a critical role on our Data Science team and be instrumental in driving long-term growth for the company. The ideal candidate has strong analytical and problem-solving abilities and is excited by the opportunity to navigate large amounts of data to identify patterns, distill insights, and solve complex problems. This is a highly visible role with significant autonomy and the opportunity to work across several teams.
RESPONSIBILITIES",4.8,"Pros
""Well, the people are great and are also very fun to work/ not work with!"" (in 11 reviews)
""Great work/life balance."" (in 6 reviews)
""Great benefits and tons of room to grow."" (in 6 reviews)
""Transparency, Great Leadership, Great Values, Schedule Flexibility, Unlimited PTO, and it feels like our voices are heard and valued."" (in 5 reviews)
""lots of autonomy"" (in 12 reviews)","Cons
No Cons have been reported by the Glassdoor community.","Point Digital Finance, Inc.
4.8","Palo Alto, CA",201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Junior Data Labeler,$46K - $73K (Glassdoor est.),"Junior Data Labeler

In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Junior Data Labeler will be focused on annotating tasks and delivering high quality results by following a variety of instructions.

The best candidate for this role will be:







Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.",4.0,"Pros
""Flexible hours, rewards for good performance"" (in 47 reviews)
""The people are great!"" (in 41 reviews)
""Good management"" (in 23 reviews)
""Salary was good"" (in 37 reviews)
""Good Training"" (in 46 reviews)","Cons
""Long hours har to balance work and life"" (in 47 reviews)
""Some not so great people, limitations due to virtual environment/covid, lousy technology provided to interns"" (in 41 reviews)
""Management poor"" (in 23 reviews)
""growing salary."" (in 37 reviews)
""lots of pressure, inadequate training provided, very long hours, not so great working atmosphere, inability to feel comfortable at work"" (in 46 reviews)",,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
Data Scientist - Role can be remote,$92K - $132K (Glassdoor est.),"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.",4.2,"Pros
""Great people to work with, fairly good benefits"" (in 17 reviews)
""great people to work with"" (in 19 reviews)
""Great culture and place to work"" (in 17 reviews)
""the work life balance is great"" (in 14 reviews)
""Direct manager is excellent."" (in 10 reviews)","Cons
""Obviously no benefits because of the nature of the contract position."" (in 17 reviews)
""Work life balance can be challenging, expectations sometimes unrealistic."" (in 14 reviews)
""the manager doesn't want to spend time on training, expect you have hands"" (in 10 reviews)",,"Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
